Регион,Округ,Код участка,Адрес,Абаев Герман Борисович,Ящук Александр Михайлович,Лоев Семён Владимирович,Байр Марк Михайлович,Бредихин Антон Викторович,Данилова Анна Геннадьевна,Бабошина Алина Олеговна,ср
Москва,Список,77.031.38,"город Москва, город Зеленоград, Заводская улица, дом 10 (нежилое помещение №3)",330,1,324,327,327,1,329,"234,1428571"
Москва,Список,77.127.24,"город Москва, город Троицк, микрорайон ""В"", дом 53 (МАОУ ""Гимназия г. Троицка"")",212,210,210,210,210,210,212,"210,5714286"
Москва,Список,77.128.46,"город Москва, Сосенское поселение, Коммунарка поселок, Фитарёвская улица, дом 9",210,209,209,210,209,209,210,"209,4285714"
Москва,Список,77.127.5,"город Москва, поселение Киевский, рабочий посёлок Киевский, дом 24 (здание администрации)",207,207,207,208,207,209,208,"207,5714286"
Москва,Список,77.023.3,"город Москва, Веерная улица, дом 32, корпус 1 (ГБУ ""Жилищник"")",194,194,193,193,193,193,193,"193,2857143"
Москва,Список,77.026.2,"город Москва, улица 50 лет Октября, дом 14А (отделение 1 ГБОУ Школа №1347)",194,193,193,193,193,193,193,"193,1428571"
Москва,Список,77.128.23,"город Москва, поселение Сосенское, посёлок Газопровод, дом 15 (здание МЧС)",192,193,192,192,192,193,194,"192,5714286"
Москва,Список,77.026.9,"город Москва, улица Щорса, дом 5, корпус 1 (структурное подразделение ГБОУ ""Школа №1000"")",192,192,192,192,192,193,194,"192,4285714"
Москва,Список,77.126.4,"город Москва, поселение Внуковское, улица Авиаконструктора Петлякова, дом 17 (ГБОУ Школа № 1788)",192,192,192,192,192,192,193,"192,1428571"
Москва,Список,77.126.20,"город Москва, поселение Московский, город Московский, 1-й микрорайон, дом 46 (ГБОУ Школа № 2065)",194,192,191,191,191,191,194,192
Москва,Список,77.023.5,"город Москва, Веерная улица, дом 38, корпус 2 (ГБОУ Школа №814)",190,190,190,190,190,191,190,"190,1428571"
Москва,Список,77.126.38,"город Москва, поселение Московский, город Московский, улица Атласова, дом 7,  корпус 3 (ГБОУ Школа  №2120)",192,188,188,188,188,190,191,"189,2857143"
Москва,Список,77.026.19,"город Москва, улица Щорса, дом 6, корпус 1 (школьное отделение №2 ГБОУ Школа №1542)",189,187,188,188,189,188,188,"188,1428571"
Москва,Список,77.128.17,"город Москва, поселение Рязановское, посёлок Знамя Октября, микрорайон ""Родники"", дом 11 (ГБОУ Школа №2083)",188,187,188,186,186,186,188,187
Москва,Список,77.022.33,"город Москва, Лукинская улица, дом 12, корпус 1 (ГБОУ ""Школа № 1376"")",187,187,186,186,186,186,187,"186,4285714"
Москва,Список,77.027.26,"город Москва, улица Академика Анохина, дом 48 (ГБОУ города Москвы ""Школа ""Тропарево"")",186,186,186,186,186,186,187,"186,1428571"
Москва,Список,77.128.3,"город Москва, поселение Воскресенское, посёлок Воскресенское, дом 36А (ГБОУ Школа № 2070)",186,184,184,184,184,185,185,"184,5714286"
Москва,Список,77.126.43,"город Москва, поселение Московский, город Московский, Бианки улица, дом 9А (ГБОУ Школа №2120)",187,183,183,183,183,183,183,"183,5714286"
Москва,Список,77.026.5,"город Москва, улица 50 лет Октября, дом 13А (отделение 2 ГБОУ Школа №1347)",183,183,183,183,183,184,185,"183,4285714"
Москва,Список,77.026.3,"город Москва, улица 50 лет Октября, дом 14А (отделение 1 ГБОУ Школа №1347)",184,182,182,182,182,182,184,"182,5714286"
Москва,Список,77.126.42,"город Москва, поселение Десеновское, Футбольная улица, дом 17 (общественно-деловое здание)",182,181,182,181,181,181,181,"181,2857143"
Москва,Список,77.023.11,"город Москва, Матвеевская улица, дом 20, корпус 2 (ГБОУ Школа №814)",181,181,181,181,181,181,182,"181,1428571"
Москва,Список,77.023.25,"город Москва, Большая Очаковская улица, дом 18 (ГБОУ Школа №2025)",180,180,180,180,180,182,181,"180,4285714"
