"date","weeksum"
"2014-03-01",0
"2014-03-02",0
"2014-03-03",0
"2014-03-04",0
"2014-03-05",0
"2014-03-06",0
"2014-03-07",0
"2014-03-08",0
"2014-03-09",0
"2014-03-10",0
"2014-03-11",0
"2014-03-12",0
"2014-03-13",0
"2014-03-14",0
"2014-03-15",0
"2014-03-16",0
"2014-03-17",0
"2014-03-18",0
"2014-03-19",0
"2014-03-20",0
"2014-03-21",0
"2014-03-22",0
"2014-03-23",0
"2014-03-24",0
"2014-03-25",0
"2014-03-26",0
"2014-03-27",0
"2014-03-28",0
"2014-03-29",0
"2014-03-30",0
"2014-03-31",0
"2014-04-01",0
"2014-04-02",0
"2014-04-03",0
"2014-04-04",0
"2014-04-05",0
"2014-04-06",0
"2014-04-13",0
"2014-04-20",0
"2014-04-27",0
"2014-05-04",0
"2014-05-11",0
"2014-05-18",0
"2014-05-25",0
"2014-06-01",0
"2014-06-08",0
"2014-06-15",0
"2014-06-22",0
"2014-06-29",0
"2014-07-06",0
"2014-07-13",0
"2014-07-20",0
"2014-07-27",0
"2014-08-03",0
"2014-08-10",0
"2014-08-17",0
"2014-08-24",0
"2014-08-31",0
"2014-09-07",0
"2014-09-14",0
"2014-09-21",0
"2014-09-28",0
"2014-10-05",0
"2014-10-12",0
"2014-10-19",0
"2014-10-26",0
"2014-11-02",0
"2014-11-09",0
"2014-11-16",0
"2014-11-23",0
"2014-11-30",0
"2014-12-07",0
"2014-12-14",0
"2014-12-21",0
"2014-12-28",0
"2015-01-04",0
"2015-01-11",0
"2015-01-18",0
"2015-01-25",0
"2015-02-01",0
"2015-02-08",0
"2015-02-15",0
"2015-02-22",0
"2015-03-01",0
"2015-03-08",0
"2015-03-15",0
"2015-03-22",0
"2015-03-29",0
"2015-04-05",0
"2015-04-12",0
"2015-04-19",3465
"2015-04-26",2705
"2015-05-03",3049
"2015-05-10",2682
"2015-05-17",2151
"2015-05-24",1493
"2015-05-31",1029
"2015-06-07",2513
"2015-06-14",2358
"2015-06-21",1559
"2015-06-28",1635
"2015-07-05",1607
"2015-07-12",2370
"2015-07-19",1126
"2015-07-26",529
"2015-08-02",553
"2015-08-09",873
"2015-08-16",3730
"2015-08-23",1633
"2015-08-30",924
"2015-09-06",243
"2015-09-13",674
"2015-09-20",201
"2015-09-27",570
"2015-10-04",1536
"2015-10-11",151
"2015-10-18",435
"2015-10-25",322
"2015-11-01",392
"2015-11-08",440
"2015-11-15",1142
"2015-11-22",843
"2015-11-29",1558
"2015-12-06",950
"2015-12-13",1069
"2015-12-20",616
"2015-12-27",724
"2016-01-03",208
"2016-01-10",529
"2016-01-17",1009
"2016-01-24",358
"2016-01-31",3024
"2016-02-07",2583
"2016-02-14",2906
"2016-02-21",3312
"2016-02-28",3356
"2016-03-06",5887
"2016-03-13",5042
"2016-03-20",2853
"2016-03-27",6115
"2016-04-03",5566
"2016-04-10",9620
"2016-04-17",10513
"2016-04-24",7822
"2016-05-01",5352
"2016-05-08",4012
"2016-05-15",4247
"2016-05-22",4568
"2016-05-29",6771
"2016-06-05",9380
"2016-06-12",12347
"2016-06-19",6530
"2016-06-26",2978
"2016-07-03",10844
"2016-07-10",6185
"2016-07-17",7778
"2016-07-24",6996
"2016-07-31",5220
"2016-08-07",5694
"2016-08-14",5566
"2016-08-21",14749
"2016-08-28",9352
"2016-09-04",4893
"2016-09-11",3028
"2016-09-18",3476
"2016-09-25",1066
"2016-10-02",5774
"2016-10-09",3787
"2016-10-16",6096
"2016-10-23",5514
"2016-10-30",6850
"2016-11-06",6459
"2016-11-13",17295
"2016-11-20",6898
"2016-11-27",7361
"2016-12-04",6611
"2016-12-11",4701
"2016-12-18",10092
"2016-12-25",12931
"2017-01-01",5832
"2017-01-08",3094
"2017-01-15",9445
"2017-01-22",3224
"2017-01-29",12476
"2017-02-05",39321
"2017-02-12",10197
"2017-02-19",5367
"2017-02-26",7783
"2017-03-05",15617
"2017-03-12",14787
"2017-03-19",9625
"2017-03-26",13920
"2017-04-02",10876
"2017-04-09",10587
"2017-04-16",6876
"2017-04-23",7206
"2017-04-30",6711
"2017-05-07",5795
"2017-05-14",12324
"2017-05-21",6439
"2017-05-28",8705
"2017-06-04",5756
"2017-06-11",9496
"2017-06-18",7822
"2017-06-25",4533
"2017-07-02",6325
"2017-07-09",4924
"2017-07-16",6193
"2017-07-23",7358
"2017-07-30",6049
"2017-08-06",7484
"2017-08-13",7212
"2017-08-20",3805
"2017-08-27",2889
"2017-09-03",1537
"2017-09-10",2054
"2017-09-17",1889
"2017-09-24",2356
"2017-10-01",1998
"2017-10-08",2364
"2017-10-15",3274
"2017-10-22",3511
"2017-10-29",6607
"2017-11-05",5166
"2017-11-12",6331
"2017-11-19",10535
"2017-11-26",5309
"2017-12-03",9358
"2017-12-10",11160
"2017-12-17",16238
"2017-12-24",9966
"2017-12-31",2166
"2018-01-07",3975
"2018-01-14",7545
"2018-01-21",8422
"2018-01-28",4824
"2018-02-04",8352
"2018-02-11",10208
"2018-02-18",6599
"2018-02-25",8493
"2018-03-04",7213
"2018-03-11",1486
"2018-03-18",4902
"2018-03-25",7241
"2018-04-01",5225
"2018-04-08",5161
"2018-04-15",5323
"2018-04-22",3607
"2018-04-29",4691
"2018-05-06",6098
"2018-05-13",5448
"2018-05-20",8418
"2018-05-27",4844
"2018-06-03",6118
"2018-06-10",9782
"2018-06-17",8334
"2018-06-24",5485
"2018-07-01",9394
"2018-07-08",1440
"2018-07-15",3216
"2018-07-22",4339
"2018-07-29",3915
"2018-08-05",7647
"2018-08-12",6578
"2018-08-19",6681
"2018-08-26",5024
"2018-09-02",3263
"2018-09-09",6354
"2018-09-16",4941
"2018-09-23",3501
"2018-09-30",5973
"2018-10-07",6556
"2018-10-14",12330
"2018-10-21",10474
"2018-10-28",8187
"2018-11-04",10242
"2018-11-11",8927
"2018-11-18",6979
"2018-11-25",5298
"2018-12-02",5167
"2018-12-09",8888
"2018-12-16",7630
"2018-12-23",6647
"2018-12-30",4266
"2019-01-06",2862
"2019-01-13",4836
"2019-01-20",6200
"2019-01-27",3488
"2019-02-03",3327
"2019-02-10",7591
"2019-02-17",9667
"2019-02-24",6730
"2019-03-03",7492
"2019-03-10",8773
"2019-03-17",8178
"2019-03-24",10743
"2019-03-31",7685
"2019-04-07",7176
"2019-04-14",8690
"2019-04-21",4930
"2019-04-28",8385
"2019-05-05",4459
"2019-05-12",6718
"2019-05-19",7658
"2019-05-26",5584
"2019-06-02",5733
"2019-06-09",8569
"2019-06-16",6069
"2019-06-23",12434
"2019-06-30",6637
"2019-07-07",7744
"2019-07-14",6900
"2019-07-21",4842
"2019-07-28",1294
"2019-08-04",1416
"2019-08-11",2024
"2019-08-18",3636
"2019-08-25",2615
"2019-09-01",3779
"2019-09-08",3581
"2019-09-15",4617
"2019-09-22",3393
"2019-09-29",6376
"2019-10-06",9532
"2019-10-13",6037
"2019-10-20",7500
"2019-10-27",9100
"2019-11-03",3728
"2019-11-10",6338
"2019-11-17",7848
"2019-11-24",5653
"2019-12-01",4586
"2019-12-08",4310
"2019-12-15",6501
"2019-12-22",4801
"2019-12-29",5134
"2020-01-05",3914
"2020-01-12",2344
"2020-01-19",5338
"2020-01-26",5973
"2020-02-02",7149
"2020-02-09",3384
"2020-02-16",3031
"2020-02-23",10328
"2020-03-01",4348
"2020-03-08",4943
"2020-03-15",6305
"2020-03-22",5191
"2020-03-29",2890
"2020-04-05",6041
"2020-04-12",3514
"2020-04-19",3684
"2020-04-26",5199
"2020-05-03",6343
"2020-05-10",7988
"2020-05-17",3692
"2020-05-24",4815
"2020-05-31",5292
"2020-06-07",2370
"2020-06-14",4612
"2020-06-21",4599
"2020-06-28",5417
"2020-07-05",3151
"2020-07-12",2740
"2020-07-19",6787
"2020-07-26",1545
"2020-08-02",244
"2020-08-09",21
"2020-08-16",218
"2020-08-23",222
"2020-08-30",123
"2020-09-06",120
"2020-09-13",36
"2020-09-20",37
"2020-09-27",286
"2020-10-04",160
"2020-10-11",107
"2020-10-18",121
"2020-10-25",181
"2020-11-01",79
"2020-11-08",159
"2020-11-15",306
"2020-11-22",93
"2020-11-29",253
"2020-12-06",471
"2020-12-13",456
"2020-12-20",583
"2020-12-27",584
"2021-01-03",501
"2021-01-10",498
"2021-01-17",511
